last_name, first_name,#,team,�|�W�V����,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Bichette, Bo,11,Toronto Blue Jays,SS,666182,144,6.3,43.1,113,92.6,94,91.4,460,169,398,70,48.6,16,11.1,8.6
Pasquantino, Vinnie,,,,686469,142,17.8,39.4,109.6,90.6,93.2,90.4,420,186,393,65,45.8,11,7.7,5.9
Kwan, Steven,,,,680757,141,12.6,40.4,105.2,86,88.1,85,402,151,402,34,24.1,1,0.7,0.5
Ramírez, José,,,,608070,140,20.1,32.9,111.6,89.5,92.4,88.4,424,188,412,58,41.4,9,6.4,5.1
Bregman, Alex,,,,608324,139,18.7,37.4,105.8,87.4,91.2,84.9,408,186,388,47,33.8,7,5,3.8
Stott, Bryson,,,,681082,138,8.5,32.6,108,87.1,90.3,86.2,378,140,372,48,34.8,4,2.9,2.3
McNeil, Jeff,,,,643446,138,12.4,29.7,104.6,86.3,91.2,84.4,400,146,378,47,34.1,4,2.9,2.3
Albies, Ozzie,,,,645277,137,14.4,38.7,109.2,88.2,92.2,84.4,421,184,387,51,37.2,16,11.7,9.2
Ruiz, Esteury,,,,665923,137,11,35.8,108.2,84.3,88.2,81.3,412,139,412,34,24.8,4,2.9,2.2
Franco, Wander,,,,677551,137,8.7,33.6,111,89.2,94,85.2,425,156,397,57,41.6,13,9.5,7.3
Freeman, Freddie,,,,518692,136,14.1,47.8,109.1,91.1,93.7,86.6,425,194,395,62,45.9,15,11,7.9
Hoerner, Nico,,,,663538,136,9.1,33.8,109.2,87.6,89.5,87.2,404,142,390,48,35.3,3,2.2,1.8
Verdugo, Alex,,,,657077,136,9,38.2,109.9,89.3,92.8,86.8,419,164,386,54,39.7,8,5.9,4.4
Semien, Marcus,,,,543760,135,15.3,37,107.6,87.4,90.4,84.6,417,173,394,54,40,5,3.7,2.6
Witt Jr., Bobby,,,,677951,135,18.9,34.8,113.8,91.1,94.8,90,434,195,401,59,43.7,16,11.9,8.6
Meneses, Joey,,,,608841,134,5.9,32.1,110.8,89.5,95.8,86.1,409,137,395,67,50,8,6,4.5
Acuña Jr., Ronald,,,,660670,134,6.1,29.9,116.7,94.6,99.9,91.1,470,146,435,71,53.4,20,14.9,10.6
France, Ty,,,,664034,134,13.5,34.3,109.8,85.9,90.5,83.1,398,155,348,46,34.3,7,5.2,4
Mountcastle, Ryan,,,,663624,131,16.1,38.9,112.2,92.9,96.5,88.8,456,197,414,62,47.3,22,16.8,12.2
Guerrero Jr., Vladimir,,,,665489,131,11.4,35.9,116.7,94.5,97.6,92.5,450,179,404,74,56.5,21,16,12
Turner, Justin,,,,457759,130,14.8,37.7,108.2,90.5,93,87.3,389,187,388,51,39.2,4,3.1,2.2
Arenado, Nolan,,,,571448,130,17.5,31.5,110.3,87.8,91.9,85.2,416,166,394,46,35.4,9,6.9,5.1
Arraez, Luis,,,,650333,128,10.7,44.5,100.4,87.6,89,86,374,163,358,24,18.8,3,2.3,2
Torres, Gleyber,,,,650402,128,16.3,39.1,111.7,87.8,93.3,79.5,443,185,393,40,31.3,11,8.6,6.4
Devers, Rafael,,,,646240,128,13.3,33.6,115,93.1,98.4,89.4,424,183,389,67,52.3,19,14.8,10.9
Goldschmidt, Paul,,,,502671,128,15.2,34.4,111.7,93.7,97.7,89.1,433,180,411,70,54.7,19,14.8,10.2
Nimmo, Brandon,,,,607043,127,6.7,29.9,111.9,91.8,95.9,89.8,431,143,417,61,48,8,6.3,4.3
Dubón, Mauricio,,,,643289,127,5.5,36.2,105.8,85.6,87.4,85.7,382,138,,33,26,2,1.6,1.3
García, Luis,,,,671277,126,3,32.5,109.9,88.9,92.4,86.5,430,134,391,45,35.7,7,5.6,4.7
Bogaerts, Xander,,,,593428,126,4.1,26.2,110.4,88.1,93.1,85.2,455,142,413,44,34.9,11,8.7,6.2
Hayes, Ke'Bryan,,,,663647,126,11.4,31.7,113.1,92.8,94,93.2,440,157,440,60,47.6,7,5.6,4.3
Marte, Ketel,,,,606466,126,6.8,31,113.5,90.8,94.4,89.4,435,153,407,54,42.9,12,9.5,7.1
Springer, George,,,,543807,126,11.5,26.2,115.9,86.3,92.6,84,440,147,407,43,34.1,12,9.5,7.1
Turner, Trea,,,,607208,125,17,36.8,109.6,88.1,90.9,86.1,420,173,398,44,35.2,7,5.6,3.8
Bohm, Alec,,,,664761,124,9.1,29,109.3,90.5,93,91,440,147,410,58,46.8,9,7.3,5.4
Reynolds, Bryan,,,,668804,124,16.8,40.3,112.6,93.6,96.3,92.3,414,182,397,68,54.8,20,16.1,12
Rizzo, Anthony,,,,519203,124,20.3,46.8,110.6,91.1,93.9,87.9,421,204,375,54,43.5,12,9.7,6.6
Renfroe, Hunter,,,,592669,124,13.5,28.2,113.2,90.6,93.5,90.5,430,165,393,59,47.6,11,8.9,6.3
