last_name, first_name,＃,Team,player_id,year,player_age,b_total_hits,b_home_run,batting_avg
Blackmon, Charlie,,,453568,2023,36,38,3,0.279
McCutchen, Andrew,,,457705,2023,36,29,7,0.246
Turner, Justin,,,457759,2023,38,41,3,0.265
Andrus, Elvis,,,462101,2023,34,27,1,0.201
Santana, Carlos,,,467793,2023,37,33,2,0.239
Goldschmidt, Paul,46,STL,502671,2023,35,52,7,0.319
Segura, Jean,,,516416,2023,33,23,0,0.19
Marte, Starling,,,516782,2023,34,33,1,0.243
Freeman, Freddie,,,518692,2023,33,51,7,0.305
Grandal, Yasmani,,,518735,2023,34,31,3,0.27
LeMahieu, DJ,,,518934,2023,34,37,5,0.276
Rizzo, Anthony,,,519203,2023,33,49,9,0.308
Perez, Salvador,,,521692,2023,33,43,9,0.293
Berti, Jon,,,542932,2023,33,32,2,0.271
Cron, C.J.,,,543068,2023,33,31,6,0.228
Grossman, Robbie,,,543257,2023,33,31,5,0.244
Rendon, Anthony,,,543685,2023,33,31,1,0.301
Semien, Marcus,,,543760,2023,32,49,7,0.297
Springer III, George,,,543807,2023,33,34,5,0.219
Trout, Mike,,,545361,2023,31,43,8,0.281
Abreu, Jose,,,547989,2023,36,35,0,0.223
Diaz, Elias,,,553869,2023,32,38,3,0.328
Suarez, Eugenio,,,553993,2023,31,35,4,0.226
Urshela, Gio,10,LAA,570482,2023,31,41,1,0.289
Arenado, Nolan,,,571448,2023,32,43,7,0.264
Hernandez, Enrique,,,571771,2023,31,33,3,0.234
Muncy, Max,,,571970,2023,32,27,14,0.216
Walker, Christian,,,572233,2023,32,38,9,0.264
Contreras, Willson,,,575929,2023,31,36,3,0.25
Bryant, Kris,,,592178,2023,31,44,5,0.291
Canha, Mark,,,592192,2023,34,30,3,0.236
Castellanos, Nick,,,592206,2023,31,49,5,0.308
Drury, Brandon,,,592273,2023,30,31,7,0.226
Judge, Aaron,,,592450,2023,31,32,10,0.274
Machado, Manny,,,592518,2023,30,36,5,0.231
Realmuto, J.T.,,,592663,2023,32,38,3,0.292
Renfroe, Hunter,,,592669,2023,31,41,10,0.258
Yelich, Christian,,,592885,2023,31,39,7,0.258
Merrifield, Whit,,,593160,2023,34,35,1,0.28
Bogaerts, Xander,,,593428,2023,30,41,6,0.268
Profar, Jurickson,,,595777,2023,30,32,5,0.23
Baez, Javier,,,595879,2023,30,35,3,0.254
Lindor, Francisco,,,596019,2023,29,36,6,0.224
Candelario, Jeimer,,,600869,2023,29,33,4,0.219
Anderson, Brian,,,605119,2023,30,33,5,0.243
Bell, Josh,,,605137,2023,30,31,3,0.223
Betts, Mookie,,,605141,2023,30,37,9,0.243
Davis, J.D.,,,605204,2023,30,37,7,0.294
Hernandez, Teoscar,,,606192,2023,30,38,8,0.236
Marte, Ketel,,,606466,2023,29,39,5,0.262
Nimmo, Brandon,,,607043,2023,30,49,3,0.316
Peterson, Jace,,,607054,2023,33,24,3,0.212
Turner, Trea,,,607208,2023,30,45,4,0.26
Ramirez, Jose,,,608070,2023,30,43,4,0.285
Bregman, Alex,,,608324,2023,29,33,5,0.212
Meneses, Joey,,,608841,2023,31,51,2,0.3
Swanson, Dansby,,,621020,2023,29,44,3,0.28
Correa, Carlos,,,621043,2023,28,30,6,0.201
Buxton, Byron,,,621439,2023,29,32,8,0.227
Ward, Taylor,,,621493,2023,29,38,4,0.244
Wisdom, Patrick,,,621550,2023,31,30,12,0.242
Olson, Matt,,,621566,2023,29,35,11,0.227
Santander, Anthony,,,623993,2023,28,38,6,0.262
Alonso, Pete,,,624413,2023,28,36,13,0.232
Conforto, Michael,,,624424,2023,30,25,8,0.205
Frazier, Adam,,,624428,2023,31,27,4,0.227
Soler, Jorge,,,624585,2023,31,34,9,0.239
Cronenworth, Jake,,,630105,2023,29,30,3,0.21
Bellinger, Cody,,,641355,2023,27,39,7,0.271
Crawford, J.P.,,,641487,2023,28,31,1,0.248
Heim, Jonah,,,641680,2023,28,40,6,0.315
Mancini III, Trey,,,641820,2023,31,32,3,0.258
McMahon, Ryan,,,641857,2023,28,32,4,0.221
Smith, Dominic,,,642086,2023,28,38,1,0.271
Tellez, Rowdy,,,642133,2023,28,32,10,0.256
Rosario, Amed,,,642708,2023,27,37,1,0.262
Adames, Willy,,,642715,2023,27,32,7,0.213
Estrada, Thairo,,,642731,2023,27,49,6,0.31
Benintendi, Andrew,,,643217,2023,28,39,0,0.267
Dubon, Mauricio,,,643289,2023,28,44,0,0.303
Kemp, Tony,,,643393,2023,31,20,1,0.167
McNeil, Jeff,,,643446,2023,31,41,2,0.27
Albies, Ozzie,,,645277,2023,26,43,10,0.264
Devers, Rafael,,,646240,2023,26,42,11,0.261
Naylor, Josh,,,647304,2023,26,27,6,0.214
Arraez, Luis,,,650333,2023,26,52,1,0.382
Torres, Gleyber,,,650402,2023,26,37,6,0.25
Diaz, Yandy,,,650490,2023,31,45,10,0.321
De La Cruz, Bryan,,,650559,2023,26,37,3,0.28
Chapman, Matt,,,656305,2023,30,47,5,0.315
Joe, Connor,,,656582,2023,30,30,5,0.261
Mullins II, Cedric,,,656775,2023,28,40,6,0.267
Schwarber, Kyle,,,656941,2023,30,26,9,0.177
Thomas, Lane,,,657041,2023,27,43,4,0.285
Verdugo, Alex,,,657077,2023,27,48,5,0.298
Ohtani, Shohei,,,660271,2023,28,47,9,0.303
Acuna Jr., Ronald,,,660670,2023,25,55,9,0.344
Ruiz, Keibert,,,660688,2023,24,32,3,0.242
Contreras, William,,,661388,2023,25,29,3,0.257
Varsho, Daulton,,,662139,2023,26,33,6,0.221
Hoerner, Nico,,,663538,2023,26,46,2,0.303
Riley, Austin,,,663586,2023,26,39,7,0.245
Larnach, Trevor,,,663616,2023,26,27,5,0.233
Mountcastle, Ryan,,,663624,2023,26,42,8,0.244
Hayes, Ke'Bryan,,,663647,2023,26,35,1,0.235
Tucker, Kyle,,,663656,2023,26,38,6,0.264
India, Jonathan,,,663697,2023,26,45,3,0.298
Raleigh, Cal,,,663728,2023,26,28,7,0.228
Grisham, Trent,,,663757,2023,26,27,4,0.203
Vierling, Matt,,,663837,2023,26,27,2,0.22
Stephenson, Tyler,,,663886,2023,26,37,2,0.255
Lowe, Nathaniel,,,663993,2023,27,42,5,0.259
Happ, Ian,,,664023,2023,28,44,4,0.303
France, Ty,,,664034,2023,28,43,2,0.277
Lowe, Brandon,,,664040,2023,28,23,7,0.189
Straw, Myles,,,664702,2023,28,29,0,0.228
Bohm, Alec,,,664761,2023,26,42,5,0.278
Wade Jr., LaMonte,,,664774,2023,29,30,7,0.268
